type,price,beds,bath,propertysqft,latitude,longitude,borough,neighborhood,price_per_sqft
Condo,315000,2,2,1400.0,40.761255,-73.9744834,Manhattan,Manhattan,225.0
House,260000,4,2,2015.0,40.5418051,-74.1961086,Manhattan,Staten Island,129.03
Condo,69000,3,1,445.0,40.7613979,-73.9746128,Manhattan,Manhattan,155.06
Townhouse,55000000,7,2,14175.0,40.7672235,-73.9698561,Manhattan,Manhattan,3880.07
House,690000,5,2,4004.0,40.6743632,-73.9587248,Manhattan,Brooklyn,172.33
Condo,899500,2,2,2184.207862,40.809448,-73.946777,Manhattan,Manhattan,411.82
Co-op,265000,1,1,750.0,40.8215857,-73.8740892,Bronx,East Bronx,353.33
Co-op,440000,2,1,978.0,40.6157378,-73.9696944,Brooklyn,Brooklyn,449.9
Co-op,375000,2,1,850.0,40.8248699,-73.9229829,Bronx,Bronx,441.18
Townhouse,689000,3,2,1162.0,40.6249962,-74.1553058,Manhattan,Staten Island,592.94
Co-op,259000,3,1,2184.207862,40.7531191,-73.8818757,Queens,Queens,118.58
Co-op,430000,2,2,2184.207862,40.7438639,-73.8745722,Queens,Queens,196.87
Co-op,895000,3,1,2184.207862,40.7382981,-74.0058899,Manhattan,Manhattan,409.76
Condo,549000,2,2,1000.0,40.5406209,-74.1671632,Staten Island,Staten Island,549.0
Townhouse,975000,3,2,1734.0,40.7607676,-73.9056672,Manhattan,Queens,562.28
Co-op,199000,3,1,325.0,40.6181029,-74.0369047,Brooklyn,Brooklyn,612.31
Co-op,350000,1,1,700.0,40.9073699,-73.9065578,Bronx,Bronx,500.0
Condo,599000,2,2,974.0,40.7324713,-73.8670804,Queens,Queens,614.99
House,639999,3,2,1260.0,40.6207403,-74.1114362,Manhattan,Staten Island,507.94
Condo,1300000,2,2,1244.0,40.7202429,-73.8430513,Queens,Queens,1045.02
Multi-family,1100000,6,3,2837.0,40.8343936,-73.8221101,Manhattan,Bronx,387.73
Condo,349900,1,1,651.0,40.5902064,-74.0958034,Staten Island,Staten Island,537.48
House,750000,2,2,1330.0,40.5039785,-74.2396555,Manhattan,Staten Island,563.91
Multi-family,1690000,6,4,2200.0,40.710749,-73.809486,Manhattan,Queens,768.18
Co-op,325000,1,1,2184.207862,40.7505078,-73.8851355,Queens,Queens,148.8
Co-op,230000,1,1,2184.207862,40.7557689,-73.8734231,Manhattan,Queens,105.3
Multi-family,925000,5,2,2750.0,40.8242389,-73.8173809,Manhattan,Bronx,336.36
Condo,329000,1,2,794.0,40.6210398,-74.1504313,Manhattan,Staten Island,414.36
Multi-family,848000,5,4,2080.0,40.6615475,-73.898309,Manhattan,Brooklyn,407.69
Co-op,279000,1,1,750.0,40.6179165,-73.9546305,Brooklyn,Brooklyn,372.0
Condo,528000,1,1,602.0,40.6275896,-74.0016198,Brooklyn,Brooklyn,877.08
Co-op,275000,1,1,2184.207862,40.7528774,-73.8211834,Queens,Queens,125.9
Condo,1165000,1,1,815.0,40.711969,-73.9649468,Brooklyn,Brooklyn,1429.45
Multi-family,1199000,6,5,3290.0,40.5159256,-74.2361135,Manhattan,Staten Island,364.44
Multi-family,700000,6,2,3053.0,40.852813,-73.9176871,Manhattan,Bronx,229.28
Multi-family,1280000,7,5,2460.0,40.688312,-73.856322,Manhattan,Queens,520.33
Co-op,199900,1,1,2184.207862,40.8260352,-73.9256625,Bronx,Bronx,91.52
Co-op,369000,2,1,2184.207862,40.753455,-73.8209077,Queens,Queens,168.94
Multi-family,699000,4,3,1591.0,40.6847504,-73.8027331,Manhattan,Queens,439.35
Co-op,4250000,3,2,2400.0,40.725464,-73.9999212,Manhattan,Manhattan,1770.83
Multi-family,825000,2,2,2184.207862,40.768457,-73.789417,Manhattan,Queens,377.71
Condo,329000,2,1,837.0,40.6315346,-74.0856344,Staten Island,Staten Island,393.07
Multi-family,889000,2,2,1520.0,40.6233188,-74.1259917,Manhattan,Staten Island,584.87
Multi-family,769000,2,2,2184.207862,40.6868333,-73.8309133,Manhattan,Queens,352.07
Multi-family,1200000,4,2,2536.0,40.6042861,-74.0012526,Manhattan,Brooklyn,473.19
Co-op,220500,2,1,900.0,40.6481488,-74.0847983,Staten Island,Staten Island,245.0
Multi-family,1999000,3,3,2739.0,40.6281691,-74.0297598,Manhattan,Brooklyn,729.83
Co-op,3250000,2,2,1300.0,40.7199716,-73.9980266,Manhattan,Manhattan,2500.0
